Creating 500 baboon threads...

Crossed: 402   | Waiting [E]: 297   | --->  2     | Waiting [W]: 299  
Crossed: 404   | Waiting [E]: 296   | <---  1     | Waiting [W]: 299  
Crossed: 407   | Waiting [E]: 296   | --->  0     | Waiting [W]: 297  
Crossed: 408   | Waiting [E]: 295   | <---  0     | Waiting [W]: 297  
Crossed: 409   | Waiting [E]: 295   | --->  0     | Waiting [W]: 296  
Crossed: 410   | Waiting [E]: 294   | <---  0     | Waiting [W]: 296  
Crossed: 411   | Waiting [E]: 294   | --->  0     | Waiting [W]: 295  
Crossed: 412   | Waiting [E]: 293   | <---  0     | Waiting [W]: 295  
Crossed: 413   | Waiting [E]: 293   | --->  0     | Waiting [W]: 294  
Crossed: 413   | Waiting [E]: 292   | <---  1     | Waiting [W]: 294  
Crossed: 415   | Waiting [E]: 292   | --->  0     | Waiting [W]: 293  
Crossed: 415   | Waiting [E]: 291   | <---  1     | Waiting [W]: 293  
Crossed: 416   | Waiting [E]: 291   | --->  2     | Waiting [W]: 291  
Crossed: 419   | Waiting [E]: 290   | <---  0     | Waiting [W]: 291  
Crossed: 420   | Waiting [E]: 290   | --->  0     | Waiting [W]: 290  
Crossed: 421   | Waiting [E]: 288   | <---  1     | Waiting [W]: 290  
Crossed: 423   | Waiting [E]: 288   | --->  0     | Waiting [W]: 289  
Crossed: 424   | Waiting [E]: 287   | <---  0     | Waiting [W]: 289  
Crossed: 425   | Waiting [E]: 287   | --->  0     | Waiting [W]: 288  
Crossed: 426   | Waiting [E]: 286   | <---  0     | Waiting [W]: 288  
Crossed: 427   | Waiting [E]: 286   | --->  0     | Waiting [W]: 287  
